participant_id,activity_mean,activity_active_ratio,gps_mean_speed,gps_total_distance_km,gps_location_variance,app_total_records,app_unique_packages
u00,0.2278875562510958,0.12669077969051346,0.2863959097011121,18645.32590757814,97.65093931544853,59879,92
u01,0.12035286040997174,0.0763990380363137,0.04690220923659989,258.07953424632444,5.69166672237897e-06,31495,42
u02,0.12466873168308949,0.07927881133913914,0.03251578860602391,651.077475628109,0.0004681494590418046,54316,71
u03,0.02425364971487742,0.015918736418393687,0.025412307275842375,82.58694636185484,4.976885607111028e-06,27887,47
u04,0.23620804469467002,0.1378049624229216,0.03344856609668508,2620.727304146431,0.013416754872657841,36835,50
u05,0.12249203323672153,0.06463944433018762,0.023771080983667408,496.05950477651936,0.00428361707944052,28580,43
u07,0.13161570656880128,0.07336037689167457,0.058670684402576494,2181.492967560396,0.07430232126550285,37280,42
u08,0.11547345018801981,0.0753533848479428,0.011078506443798451,432.19221228774734,0.0002454156008102463,89759,62
u09,0.14137847899018874,0.08484833625505171,0.06527009995258791,922.5753219276205,0.00848569519657,34054,54
u10,0.07806325412917789,0.048830952690249056,0.010759566861117342,201.1325969203554,2.2704798624827627e-06,50838,42
u12,0.13225360074765358,0.06637138664235397,0.13665374297235375,5192.638732407841,0.3183786494187882,68827,56
u13,0.1266759362676939,0.061744660481867296,0.08447108366141733,1196.8462233575747,0.0004448183883464852,48674,118
u14,0.13932589251077884,0.10443235095263957,0.01202805882785808,525.1211225979033,0.033993901002333675,44068,67
u15,0.14381283144093437,0.07111136415395126,0.14105543850111857,1337.4285415385755,0.1675917520417865,17403,55
u16,0.0942436968796676,0.05992472730458952,0.0159640039286927,222.42195352200255,5.652799298174606e-06,35246,67
u17,0.0882245633237561,0.049586886791018685,0.0071377927296875,138.0961781692768,1.5783594990723258e-06,34174,51
u18,0.07698253172771849,0.04425881525814825,0.0838085237766964,484.2795841196755,0.03557152956578639,71890,61
u19,0.08994537868684352,0.05387552580861803,0.055536697792518484,387.2197588085848,0.0001254343622167315,94634,78
u20,0.04922388042846092,0.032397133806515,0.02301772088598658,62.4606958812922,1.6502303346854585e-06,30768,67
u22,0.1270790765828286,0.06793887571729564,0.026581906355591316,8558.742865276476,25.44543122924657,57074,73
u23,0.053671556381184204,0.030873529348963338,0.13275731673822716,79.4677825168794,4.363056726310861e-07,16238,70
u24,0.10097622087647744,0.0653615699584936,0.03139759074848907,137.13537954445493,1.7646947668878616e-05,28732,56
u25,0.23880163864097106,0.12037449843958983,0.07284119254858412,1830.6482941649156,0.023389806545656942,5403,30
u27,0.08292620715364844,0.04556477720878215,0.0050230125168842866,114.0491481091081,8.492798663059308e-07,32891,70
u30,0.20555729571886147,0.10870676676535077,0.0571374516168443,4500.952227121329,0.5390248201458887,55561,60
u31,0.16150490137850643,0.08117222370982712,0.30724515207946707,2568.4033165519736,0.06721544540897353,60608,74
u32,0.18332921024977428,0.10532681251810457,0.032864706884816755,606.3926053158078,0.020224126205672363,25554,51
u33,0.10757905185045138,0.0660017960958548,0.011842990306158775,114.76534394639764,5.915696017924262e-06,149969,97
u34,0.2587559745270712,0.11118067411143992,0.22836527178656504,666.9506155159461,0.0003163645875806731,10790,39
u35,0.09202409355372455,0.04848743743902462,0.05290688199539171,367.8182729545227,8.141035489126169e-05,15682,42
u36,0.1730460744959283,0.08908656908871816,0.055984575855772774,14114.915381422203,38.18514846409933,55258,43
u39,0.01674855800042726,0.007751701406903287,0.0438752100148258,202.12251962536573,0.00040948839793732204,8083,18
u41,0.052464438540224645,0.03601000851239456,0.006191560292955892,98.36527816378606,1.4977893919647922e-06,27069,49
u42,0.12054036575288327,0.055962899601745573,0.15435297243745777,729.5528807995044,0.00044915043897558504,10482,40
u43,0.1613472962642831,0.0893509335545019,0.18112284874709436,2027.3534206128072,0.07119603752645436,40138,51
u44,0.04584371768136582,0.02620882288116915,0.07116505218282683,417.32053742449807,7.936994512977257e-05,46762,43
u45,0.23476194221335248,0.09318318111660555,0.3929244651454625,1131.1422077261625,0.0015416871765022416,14669,52
u46,0.23905673118648865,0.14656078639769612,0.023806054122899156,880.8885954571545,0.05703834841559757,63830,81
u47,0.1128585829891322,0.05896963404486388,0.04113879466939731,652.2423527537587,0.0003157800927868407,16578,51
u49,0.10535283259974443,0.06564927106232486,0.06558524433495022,1513.0551089550222,0.04560797212299102,50436,107
u50,0.08627262724870877,0.03945183015284562,0.02787564461564742,402.08700476516657,0.0637381661513509,15471,41
u51,0.1505407927661299,0.08962213290600356,0.058860082968652035,1353.7498106892212,0.002819398740120088,24730,55
u52,0.42138481990880516,0.22718368597827393,0.022624085090583314,705.1478435330466,0.00026395173956684527,18291,27
u53,0.0726231102689015,0.03864358602416508,0.08923946311592357,579.2618984751158,0.004704146232051325,52526,58
u54,0.1542712111975567,0.0910254166188835,0.04778034379418696,4884.860189522356,4.0391110983108875,50848,117
u56,0.15071386295023612,0.07828647343612279,0.09211612287731931,2925.8026926221264,0.0751604837806944,32776,42
u57,0.2186199051688081,0.12165051617720064,0.13035706703893443,3789.658009492166,1.491093407443975,29773,66
u58,0.10250417692360926,0.05793121175272612,0.10504962913000167,906.9181222401567,0.000636252757836058,18439,58
u59,0.2543972422684254,0.1391799079556711,0.037741583955837044,20699.009625395815,12.397040639776664,59242,98
